id,name,brand,category,tagline,description,basePrice,sizes,sizeUpcharges
00083-bbt,00083-BBT 라이트 라운드 티셔츠 (면32수),프린트스타,데일리 웨어,가볍고 시원한 착용감의 4.0온스 라이트 티셔츠,32수 편면 조직(135g/㎡)으로 가볍게 짜여 한여름 이너나 대량 단체복 제작으로 적합합니다.,7600,"150, 160, S, M, L, XL, 2XL",2XL:1000
00085-cvt,00085-CVT 베이직 라운드 티셔츠 (면17수),프린트스타,데일리 웨어,"누적 판매 1위, 전 세계 표준 베이직 티셔츠",5.6온스(190g/㎡)의 도톰하고 탄탄한 17수 면 원단으로 비침이 없어 단체복 및 굿즈 제작용 부동의 1위입니다.,9400,"110, 120, 130, 140, 150, 160, XS, S, M, L, XL, 2XL, 3XL, 4XL","2XL:1000, 3XL:1500, 4XL:2000"
00086-dmt,00086-DMT 스탠다드 라운드 티셔츠 (면20수),프린트스타,데일리 웨어,알맞게 슬림하며 적당한 두께의 20수 면 티셔츠,적당한 두께감(170g/㎡)의 20수 원사를 사용하여 입었을 때 바디 실루엣이 세련되고 편안합니다.,8400,"100, 110, 120, 130, 140, 150, 160, S, M, L, XL, 2XL, 3XL","2XL:1000, 3XL:1500"
00087-oet,00087-OET 하이 그레이드 리브 바인딩 티셔츠 (OE면사 16수),프린트스타,데일리 웨어,아메리칸 감성의 터프한 오픈엔드 원사 바인딩 넥 티셔츠,오픈엔드(OE)사로 짜여 드라이하고 거친 텍스처를 선사하며 넥 라인을 이중 바인딩 마감하여 변형을 막아줍니다.,10200,"S, M, L, XL, 2XL, 3XL","2XL:1000, 3XL:1500"
00095-cve,"00095-CVE 베이직 라운드 티셔츠 (면17수, 트렌디 컬러)",프린트스타,데일리 웨어,00085-CVT 면사 사양에 최신 감성 컬러를 가미한 스페셜 컬렉션,프린트스타 대표작 00085-CVT와 동일한 원단감에 트렌디한 시즌 한정 색상을 특별 제공합니다.,9400,"160, XS, S, M, L, XL, 2XL, 3XL","2XL:1000, 3XL:1500"
00102-cvl,00102-CVL 베이직 라운드 긴팔 티셔츠 (면17수),프린트스타,데일리 웨어,탄탄한 17수 베이직 라운드 티셔츠의 오리지널 긴팔 버전,5.6온스 면 100% 원단으로 제작되어 비침이 없고 사계절 내내 코디하기 유용한 기본 라운드 긴팔 티셔츠입니다.,13000,"110, 130, 150, XS, S, M, L, XL, 2XL, 3XL","2XL:1500, 3XL:2000"
00109-pct,00109-PCT 베이직 라운드 포켓 티셔츠 (면17수),프린트스타,데일리 웨어,왼가슴 유틸리티 포켓이 장착된 실용적인 데일리 티셔츠,17수 평직 원단으로 제작되어 튼튼하며 왼쪽 가슴에 실용적인 크기의 포켓이 위치해 포인트 이너로 적합합니다.,10600,"S, M, L, XL, 2XL, 3XL","2XL:1000, 3XL:1500"
00110-cll,00110-CLL 베이직 라운드 시보리 긴팔 티셔츠 (면17수),프린트스타,데일리 웨어,소매단 시보리(시보리) 마감으로 흘러내림을 방지한 긴팔 티셔츠,손목 리브(시보리) 처리가 되어 있어 소매 걷어 올리기 편하며 형태 안정성이 뛰어난 17수 긴팔 티셔츠입니다.,14400,"XS, S, M, L, XL, 2XL, 3XL","2XL:1500, 3XL:2000"
00113-bcv,00113-BCV 오버핏 라운드 티셔츠 (면17수),프린트스타,데일리 웨어,넓은 어깨폭과 짧은 기장으로 스타일리시한 와이드 루즈핏 티셔츠,어깨 라인이 넉넉히 떨어지는 루즈핏 실루엣으로 요즘 스트릿 코디 및 크롭 스타일링에 완벽하게 어울립니다.,11400,"S, M, L, XL",
00141-nvp,00141-NVP 드라이 포켓 폴로셔츠 (T/C),프린트스타,데일리 웨어,드라이 흡습 속건 기능이 접목된 가슴 포켓 포멀 폴로 셔츠,면과 폴리에스터의 혼방으로 편안한 착용감과 쾌적한 땀 흡수 기능을 동시에 겸비하여 쿨비즈 단체복으로 안성맞춤입니다.,12000,"XS, S, M, L, XL, 2XL, 3XL, 4XL, 5XL","2XL:1500, 3XL:2000, 4XL:2500, 5XL:3000"
